"One Hint from Phoebus Dokos on Facebook 2017-12-31: ""Most .dot command versions in the BIN directory coming in the TBBLUE distributions are modified from the original ones""
.drives (Older),,,,,Dr. Slump (=david_ps) (aka David Pesqueira Souto),https://www.dropbox.com/s/5gwq5vrzzz97zo7/drives?dl=0,http://board.esxdos.org/viewtopic.php?pid=551#p551,,Display list of detected drives
.dskprobe,v0.2ro,,,ESXDOS 0.8.5 Final,(c) 2009-12 Papaya Labz,http://www.esxdos.org/files/esxdos085.zip,http://www.esxdos.org/index.html,,Disk Probe / View blocks / View sectors
.dskprobe (Older),v0.1ro alpha ,,,ESXDOS 0.7.3 Public BETA,(c) 2009 Papaya Labz,http://www.esxdos.org/files/esxdos073.zip,http://www.esxdos.org/index.html,,Disk Probe / View blocks / View sectors
.dumpmem,v0.3,,,ESXDOS 0.8.7 Final,(c) ub880d,http://www.esxdos.org/files/esxdos087.zip,http://board.esxdos.org/viewtopic.php?pid=1233#p1233,".dumpmem [params] <fname>
-s<start>: addr (default 32768)
-l<len>  : size (default 512)
-a       : append to file
-f       : force overwrite
switches -a and -f are mutually
exclusive",
.dumpmem (Older),v0.2,,,ESXDOS 0.7.4 Public BETA (bugfix release),(c) ub880d,http://www.esxdos.org/files/esxdos074.zip,http://www.esxdos.org/index.html,.dumpmem [params] <fname> -s<start>: addr (default 32768) -l<len> : size (default 512) -f : force overwrite,
.dt,v0.1.1,SpecNext only,SpecNext only,---,Jari Komppa (jarikomppa),"Part of Package ""Using USB MIDI with the ZX Sectrum Next (via raspberry pi 0), part 2: sending midi"" / """" from: https://solhsa.com/#SENDINGMIDIDATAONZXSPECTRUMNEXT / Youtube: https://www.youtube.com/watch?v=nRYQnVuJxJ8",http://iki.fi/sol,".dt  INTVAR

where INTVAR is one letter
eg, DT X will use %X(n)
x(0)=minutes, x(1)=seconds",Time delta calculator
.dzx7,,,,---,"Alcoholics Anonymous (=
aralbrec)","As postet 2017-11-11 on: http://board.esxdos.org/viewtopic.php?pid=555#p555 this can now be found on:
https://github.com/z88dk/z88dk/tree/master/libsrc/_DEVELOPMENT/EXAMPLES/zxn/dot-command",http://board.esxdos.org/viewtopic.php?pid=308#p308,,dzx7 is a decompressor for .zx7 compressed files
.ear2tap,,,,---,rkd77 / Witold Filipczyk,https://github.com/rkd77/ear2tap/archive/refs/heads/main.zip,https://spectrumcomputing.co.uk/forums/viewtopic.php?p=195130,.ear2tap file.tap,"ear2tap for esxdos
Usage: .ear2tap file.tap

It creates new file file.tap and loads from the real tape (EAR socket). Similar in effect to the COPY-COPY program. Green border means saving to a disk or a SD card. You can pause tape if the green border is shown longer. Press BREAK when playing tape finished. It will restart Spectrum."
.echo,,,Sourcecode-File in Zeus/.GOD available incl. Description on: http://simon.mooli.org.uk/nextech/z80n/index.html,,Simon N Goodwin,http://simon.mooli.org.uk/nextech/z80n/ECHO,http://simon.mooli.org.uk/nextech/z80n/index.html,ECHO string,
.editor,v0.9b,,esxDOS hex monitor/editor,,namco/nexgen software,https://esxdos.zxfiles.net/#dotcmds,https://esxdos.zxfiles.net/#dotcmds,editor <filename>,"Use cursor keys to move on
screen, TRUE/INV video to move
through file blocks and menu
shortcuts for more actions"
.espbaud,v1.1,SpecNext only,"Included in Package ""Next ZXDB-dl search"" from: https://github.com/em00k/next-zxdb-downloader",,,https://github.com/em00k/next-zxdb-downloader,,"ESPBAUD V1.1 (zx next)

-R  = ESP Hard Reset

-d  = Detect ESP bps
bps = Set bps and finetune
-v  = ESP version test

-p  = ESP bps change permanent
-f  = Set bps exactly
-q  = quiet mode",Also found on SpecNext Master at: https://gitlab.com/thesmog358/tbblue/-/blob/master/dot/ESPBAUD
.espreset,v1.4,SpecNext only,ESP8266-01 reset dot command for the ZX Spectrum Next,,Robin Verhagen-Guest (Threetwosevensixseven),https://github.com/Threetwosevensixseven/espreset/blob/master/dot/ESPRESET,https://github.com/Threetwosevensixseven/espreset,,
.evas10n.ras,v0.1,SpecNext only,"Extremely simple breakout game. Source colde included. / A Turbo Rascal Syntax Error   rewrite of the Turbo Pascal   rewrite of Evas10n, a BASIC  10-Liner breakout game for the         ZX Spectrum.  **** 32 COLUMNS MODE ONLY!! ****    Control keys:    q:         quit    z:         move bat left    x:         move bat right    any other: stop bat  ",,marco's retrobits,https://retrobits.itch.io/,https://itch.io/jam/dotjam,.evas10n.ras,
.every,v0.5.0b,SpecNext only,,,"Stale Pixels
( https://www.stalepixels.com/ )",https://github.com/StalePixels/D3,https://www.stalepixels.com/software/D3/#every,"Name: default, ""True"" every 10th
.EVERY 10

Name: ESP, ""True"" every 5th
.EVERY ESP 5

NextReg 0x7F is 1 on True else 0","A scheduling tool designed to keep count of events, and trigger periodically.

.EVERY needs to be started with at-least one parameter, the schedule interval – which must be a number greater than one.

You can also pass an optional second parameter, this is the name of the schedule when you wish to maintain more than one.

In the below example we’ll use .EVERY to set the RTC every 10th execution.

.EVERY 10 : IF % REG 127 THEN .NXTP time.nxtel.org 12300

For advanced users, you can run more than one schedule concurrently, but independently of each other.

.EVERY 2 EveryTwo : IF % REG 127 THEN PRINT ""Twice""
.EVERY 3 ThreeTimes : IF % REG 127 THEN PRINT ""Thrice""

The default schedule is called “default”, and the schedule data is stored in /sys/every.cfg. This is a “simple INI file” and is suitable for manipulation with .INI (in fact, it uses the same code path for both apps)

Internally, the network time example is exactly how it is used – and that function was our motivation behind this tool!"
".extract (newer, but -m Parameter don´t work anymore)",v1.1,,"Standard esxDOS (=ZX) Version. No more working -m functionality as long, as I´ve tested it (tried to load something to Screen-Memory with -m 16384).",---,"Alcoholics Anonymous (=
aralbrec)",https://github.com/z88dk/z88dk/tree/master/libsrc/_DEVELOPMENT/EXAMPLES/zx/dot-command/extract,http://board.esxdos.org/viewtopic.php?id=106,".extract file [+off][-off][len]
 [-f] [-o outfile] [-a outfile]
 [-m address]

input:
  file = input filename
  +off = byte offset from start
  -off = byte offset from end
   len = length in bytes

output:
  -f  = overwrite permitted
  -o  = write to output file
  -a  = append to output file
  -m  = copy to 64k mem address

no -o,-a,-m generates hexdump","Extracts parts of file and display them as hex or save them as files.

Programming sample for .DOT-commands.

Dave Sonic ClarkeBASIC on the FV-Group ""ZX Spectrum Next""
SOLVED. Everything after 'extract' needed to be in the string variable."
".extract (older, but -m Parameter works)",v1.0,,"Standard esxDOS (=ZX) Version. This one has working -m functionality as long, as I´ve tested it (tried to load something to Screen-Memory with -m 16384).",---,"Alcoholics Anonymous (=
aralbrec)",,,"extract file [+off][-off][len]
 [-f] [-o outfile] [-a outfile]
 [-m address]

input:
  file = input filename
  +off = byte offset from start
  -off = byte offset from end
   len = length in bytes

output:
  -f  = overwrite permitted
  -o  = write to output file
  -a  = append to output file
  -m  = copy to 64k mem address

no -o,-a,-m generates hexdump","Extracts parts of file and display them as hex or save them as files.

Programming sample for .DOT-commands."
.extract,v1.3,SpecNext only,ZX Next (=ZXN) Version,---,"Alcoholics Anonymous (=
aralbrec)",https://github.com/z88dk/z88dk/tree/master/libsrc/_DEVELOPMENT/EXAMPLES/zxn/dot-command/extract,http://board.esxdos.org/viewtopic.php?id=106,"extract file [+off][-off][len]
 [-f] [-o file] [-a file]
 [-m addr] [-ml linaddr]
 [-mp pnum] [-mb bnum]

input:
  file = input file
  +off = byte offset from start
  -off = byte offset from end
   len = length in bytes

output:
  -f  = overwrite permitted
  -o  = write to out file
  -a  = append to out file
  -m  = copy to 64k addr
  -ml = copy to linear addr
  -mp = copy to start of page
  -mb = copy to start of bank

no -o,-a,-m* generates hexdump","Extracts parts of file and display them as hex or save them as files.

Programming sample for .DOT-commands.

Many Examples (from .EXTRACTs README file) can be found here: https://www.cs.hmc.edu/~oneill/specnext/dot-cmds.html

This utility reads some portion of a file and either:
saves that portion to another file
appends that portion to another file
loads that portion into the zx-next's memory
prints that portion in a hexdump"
.flipscr,,,.ASM-Demo: Compiled with SjASMPlus,Not in esxDOS-Release. Just a compiled .ASM-example as demo-file,,http://forum.tlienhard.com/phpBB3/download/file.php?id=6574,http://www.retroprogramming.com/2014/12/z80-size-programming-challenge-2_15.html,Without Parameters,"Flips Screen-Content
"
.file,"v0.1
",,Different from ESXDOS 0.7.3 Public BETA,ESXDOS 0.8.0 Public BETA,(c) phoenix,http://www.esxdos.org/files/esxdos080.zip,http://www.esxdos.org/index.html,file <file>,I think that FILE command looks like linux command. It determines type by content of file. http://board.esxdos.org/viewtopic.php?id=37
.file (Older),"v0.1
",,,ESXDOS 0.7.3 Public BETA,(c) phoenix,http://www.esxdos.org/files/esxdos073.zip,http://www.esxdos.org/index.html,file <file>,I think that FILE command looks like linux command. It determines type by content of file. http://board.esxdos.org/viewtopic.php?id=37
.fsize,v1.1,SpecNext only,Download-Package contains commented .ASM-Sourcecode,,David Saphier (em00k),https://github.com/em00k/nextbasic-dotcommands/archive/refs/heads/main.zip,https://github.com/em00k/nextbasic-dotcommands,fsize,fsize = returns file size in variable for NextBasic  
.gramon,v0.1 (green border),,,ESXDOS 0.8.5 Final,"Original author MS-CID SOFTWARE 1990
Small modifications and port to ESXDOS by VELESOFT 2013",http://www.esxdos.org/files/esxdos085.zip,http://www.esxdos.org/index.html,"Manual:
\ESXDOS 0.85 FINAL\DOCS\GRAMON.TXT
","Gramon is graphic monitor for finding graphic,sprites,character fonts and screens in ZX memory."
